"","datetime","temp","do","do_sat"
"1428",2024-05-28 10:50:00,10.109,9.188,81.607306
"1429",2024-05-28 11:00:00,10.182,9.208,81.925432
"1430",2024-05-28 11:10:00,10.264,9.219,82.181365
"1431",2024-05-28 11:20:00,10.319,9.207,82.180314
"1432",2024-05-28 11:30:00,10.355,9.201,82.19606
"1433",2024-05-28 11:40:00,10.391,9.208,82.327962
"1434",2024-05-28 11:50:00,10.41,9.205,82.337744
"1435",2024-05-28 12:00:00,10.537,9.2,82.537657
"1436",2024-05-28 12:10:00,10.591,9.178,82.444106
"1437",2024-05-28 12:20:00,10.691,9.185,82.699474
"1438",2024-05-28 12:30:00,10.727,9.174,82.669671
"1439",2024-05-28 12:40:00,10.709,9.192,82.797186
"1440",2024-05-28 12:50:00,10.781,9.196,82.972052
"1441",2024-05-28 13:00:00,10.781,9.193,82.944984
"1442",2024-05-28 13:10:00,10.79,9.132,82.411841
"1443",2024-05-28 13:20:00,9.981,9.277,82.149758
"1445",2024-05-28 13:40:00,10.228,9.287,82.717626
"1504",2024-05-28 23:30:00,11.554,9.338,85.770233
"1505",2024-05-28 23:40:00,11.554,9.334,85.733492
"1506",2024-05-28 23:50:00,11.626,9.297,85.534631
"1507",2024-05-29,11.644,9.291,85.514661
"1508",2024-05-29 00:10:00,11.438,9.324,85.413948
"1509",2024-05-29 00:20:00,11.321,9.361,85.522464
"1512",2024-05-29 00:50:00,11.303,9.355,85.432233
"1513",2024-05-29 01:00:00,11.312,9.332,85.239854
"1514",2024-05-29 01:10:00,11.285,9.306,84.949526
"1515",2024-05-29 01:20:00,11.339,9.311,85.100914
"1516",2024-05-29 01:30:00,11.312,9.338,85.294659
"1517",2024-05-29 01:40:00,11.285,9.349,85.34205
"1518",2024-05-29 01:50:00,11.285,9.313,85.013425
"1519",2024-05-29 02:00:00,11.321,9.27,84.691085
"1520",2024-05-29 02:10:00,11.321,9.258,84.581452
"1521",2024-05-29 02:20:00,11.259,9.331,85.126724
"1523",2024-05-29 02:40:00,11.142,9.361,85.170201
"1524",2024-05-29 02:50:00,11.133,9.34,84.961472
"1525",2024-05-29 03:00:00,11.178,9.277,84.476119
"1526",2024-05-29 03:10:00,11.178,9.289,84.585391
"1527",2024-05-29 03:20:00,11.169,9.325,84.895568
"1528",2024-05-29 03:30:00,11.169,9.286,84.540508
"1529",2024-05-29 03:40:00,11.187,9.271,84.43902
